Order_ID,Customer,Product,Category,Quantity,Price,Order_Date
1001,Ravi,Laptop,Electronics,1,65000,2026-07-01
1002,Priya,Mouse,Electronics,2,700,2026-07-01
1003,Amit,Keyboard,Electronics,1,1500,2026-07-02
1004,Sneha,Chair,Furniture,2,3500,2026-07-02
1005,Rahul,Table,Furniture,1,8000,2026-07-03
1006,Anjali,Laptop,Electronics,1,65000,2026-07-03
1007,Vijay,Monitor,Electronics,2,12000,2026-07-04
1008,Divya,Desk,Furniture,1,9500,2026-07-04
1009,Kiran,Mouse,Electronics,3,700,2026-07-05
1010,Pooja,Chair,Furniture,4,3500,2026-07-05
